,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
22,Robert Griffin*\GrifRo01,WAS,QB,22,15,15,258,393,3200,20,5,120,815,6.79,7,1,0,0,,0,12,2,7,,,318,317.5,330.5,322.5,67,5,22
23,Frank Gore*\GoreFr00,SFO,RB,29,16,16,0,0,0,0,0,258,1214,4.71,8,36,28,234,8.36,1,3,1,10,,,197,224.8,237.8,216.8,66,11,23
24,Eric Decker\DeckEr00,DEN,WR,25,16,15,0,0,0,0,0,0,0,,0,122,85,1064,12.52,13,0,0,13,,,184,269.4,272.4,226.9,66,8,24
25,Julio Jones*\JoneJu02,ATL,WR,23,16,15,0,0,0,0,0,6,30,5.00,0,128,79,1198,15.16,10,0,0,10,,,183,261.8,264.8,222.3,64,9,25
26,Peyton Manning*+\MannPe00,DEN,QB,36,16,16,400,583,4659,37,11,23,6,0.26,0,0,0,0,,0,2,2,0,,1,311,311.0,327.0,322.0,60,6,26
27,Roddy White\WhitRo00,ATL,WR,31,16,15,0,0,0,0,0,0,0,,0,142,92,1351,14.68,7,1,0,7,,,177,269.1,272.1,223.1,59,10,27
28,Jimmy Graham\GrahJi00,NOR,TE,26,15,9,0,0,0,0,0,0,0,,0,135,85,982,11.55,9,1,0,9,,,152,237.2,240.2,194.7,56,1,28
29,Matt Ryan*\RyanMa00,ATL,QB,27,16,16,422,615,4719,32,14,34,141,4.15,1,0,0,0,,0,3,2,1,,,305,304.9,326.9,318.9,54,7,29
30,Wes Welker*\WelkWe00,NWE,WR,31,16,12,0,0,0,0,0,2,20,10.00,0,174,118,1354,11.47,6,3,1,6,,,171,289.4,293.4,230.4,53,11,30
31,Marques Colston\ColsMa00,NOR,WR,29,16,13,0,0,0,0,0,0,0,,0,130,83,1154,13.90,10,4,2,10,,,171,254.4,259.4,212.9,53,12,31
32,Victor Cruz*\CruzVi00,NYG,WR,26,16,16,0,0,0,0,0,0,0,,0,143,86,1092,12.70,10,0,0,10,,,169,255.2,258.2,212.2,51,13,32
33,Rob Gronkowski*\GronRo00,NWE,TE,23,11,11,0,0,0,0,0,0,0,,0,79,55,790,14.36,11,1,1,11,,,143,198.0,202.0,170.5,47,2,33
34,Matt Forte\FortMa00,CHI,RB,27,15,15,0,0,0,0,0,248,1094,4.41,5,59,44,340,7.73,1,2,1,6,,,177,221.4,228.4,199.4,47,12,34
35,Michael Crabtree\CrabMi00,SFO,WR,25,16,16,0,0,0,0,0,1,8,8.00,0,127,85,1105,13.00,9,0,0,9,,,165,250.3,253.3,207.8,47,14,35
36,Tony Gonzalez*+\GonzTo00,ATL,TE,36,16,16,0,0,0,0,0,0,0,,0,124,93,930,10.00,8,0,0,8,,,141,234.0,237.0,187.5,45,3,36
37,Chris Johnson\JohnCh04,TEN,RB,27,16,15,0,0,0,0,0,276,1243,4.50,6,49,36,232,6.44,0,5,4,6,,,176,211.5,221.5,193.5,45,13,37
38,Reggie Wayne*\WaynRe00,IND,WR,34,16,15,0,0,0,0,0,1,-5,-5.00,0,195,106,1355,12.78,5,1,1,5,,,163,269.0,273.0,216.0,45,15,38
39,James Jones\JoneJa04,GNB,WR,28,16,16,0,0,0,0,0,0,0,,0,98,64,784,12.25,14,0,0,14,,,162,226.4,229.4,194.4,44,16,39
40,Reggie Bush\BushRe00,MIA,RB,27,16,16,0,0,0,0,0,227,986,4.34,6,52,35,292,8.34,2,4,2,8,,,172,206.8,214.8,189.3,41,14,40
41,Shonn Greene\GreeSh00,NYJ,RB,27,16,14,0,0,0,0,0,276,1063,3.85,8,30,19,151,7.95,0,4,1,8,,,167,186.4,193.4,176.9,37,15,41
42,Mike Williams\WillMi04,TAM,WR,25,16,16,1,1,28,0,0,0,0,,0,126,63,996,15.81,9,0,0,9,,,155,217.7,220.7,186.2,36,17,42
43,Heath Miller*\MillHe00,PIT,TE,30,15,15,0,0,0,0,0,0,0,,0,101,71,816,11.49,8,0,0,8,1,,132,202.6,205.6,167.1,36,4,43
44,Steven Jackson\JackSt00,STL,RB,29,16,16,0,0,0,0,0,258,1045,4.05,4,53,38,321,8.45,0,0,0,4,1,,163,200.6,206.6,181.6,32,16,44
45,Tony Romo\RomoTo00,DAL,QB,32,16,16,425,648,4903,28,19,30,49,1.63,1,1,1,-1,-1.00,0,6,3,1,1,1,279,279.9,304.9,298.4,28,8,45
46,Russell Wilson*\WilsRu00,SEA,QB,24,16,16,252,393,3118,26,10,94,489,5.20,4,0,0,0,,0,6,3,4,,1,278,277.6,296.6,287.6,27,9,46
47,Michael Turner\TurnMi00,ATL,RB,30,16,16,0,0,0,0,0,222,800,3.60,10,30,19,128,6.74,1,3,1,11,,,157,175.8,182.8,166.3,26,17,47
48,Jason Witten*\WittJa00,DAL,TE,30,16,16,0,0,0,0,0,0,0,,0,147,110,1039,9.45,3,0,0,3,,,122,231.9,234.9,176.9,26,5,48
49,Andrew Luck*\LuckAn00,IND,QB,23,16,16,339,627,4374,23,18,62,255,4.11,5,0,0,0,,0,10,5,5,,,276,276.5,305.5,294.5,26,10,49
50,Ahmad Bradshaw\BradAh00,NYG,RB,26,14,12,0,0,0,0,0,221,1015,4.59,6,31,23,245,10.65,0,3,3,6,,,156,179.0,188.0,167.5,26,18,50
51,Matthew Stafford\StafMa00,DET,QB,24,16,16,435,727,4967,20,17,35,126,3.60,4,1,1,3,3.00,0,6,4,4,,1,276,276.6,303.6,293.1,25,11,51
52,Randall Cobb\CobbRa00,GNB,RB,22,15,8,0,0,0,0,0,10,132,13.20,0,104,80,954,11.93,8,4,1,9,,,155,240.6,247.6,200.6,24,19,52
53,Steve Smith\SmitSt01,CAR,WR,33,16,16,0,0,0,0,0,3,27,9.00,0,137,73,1174,16.08,4,1,1,4,,,142,215.1,219.1,178.6,24,18,53
54,Lance Moore\MoorLa00,NOR,WR,29,15,7,0,0,0,0,0,0,0,,0,104,65,1041,16.02,6,0,0,6,,,140,205.1,208.1,172.6,22,19,54
55,BenJarvus Green-Ellis\GreeBe00,CIN,RB,27,15,15,0,0,0,0,0,278,1094,3.94,6,30,22,104,4.73,0,3,2,6,,,152,173.8,181.8,162.8,21,20,55
56,Steve Johnson\JohnSt00,BUF,WR,26,16,16,0,0,0,0,0,0,0,,0,148,79,1046,13.24,6,1,1,6,,,139,217.6,221.6,178.1,20,20,56
57,Cecil Shorts\ShorCe00,JAX,WR,25,14,9,0,0,0,0,0,1,-4,-4.00,0,105,55,979,17.80,7,1,1,7,,,138,192.5,196.5,165.0,19,21,57
58,Mikel Leshoure\LeshMi00,DET,RB,22,14,14,0,0,0,0,0,215,798,3.71,9,49,34,214,6.29,0,3,3,9,,,149,183.2,192.2,166.2,19,21,58
59,Greg Olsen\OlseGr00,CAR,TE,27,16,16,0,0,0,0,0,0,0,,0,104,69,843,12.22,5,0,0,5,,,114,183.3,186.3,148.8,19,6,59
60,Torrey Smith\SmitTo02,BAL,WR,23,16,16,0,0,0,0,0,3,9,3.00,0,110,49,855,17.45,8,0,0,8,,,134,183.4,186.4,158.9,16,22,60
61,LeSean McCoy\McCoLe01,PHI,RB,24,12,12,0,0,0,0,0,200,840,4.20,2,67,54,373,6.91,3,4,3,5,,,145,199.3,208.3,172.3,15,22,61
62,Dennis Pitta\PittDe00,BAL,TE,27,16,5,0,0,0,0,0,0,0,,0,94,61,669,10.97,7,0,0,7,,,109,169.9,172.9,139.4,13,7,62
63,T.Y. Hilton\HiltT.00,IND,WR,23,15,1,0,1,0,0,0,5,29,5.80,0,90,50,861,17.22,7,1,0,8,,,131,187.0,190.0,162.0,13,23,63
64,Mike Wallace\WallMi00,PIT,WR,26,15,14,0,0,0,0,0,5,7,1.40,0,119,64,836,13.06,8,2,1,8,,,130,194.3,198.3,162.3,12,24,64
65,Owen Daniels*\DaniOw00,HOU,TE,30,15,14,0,0,0,0,0,0,0,,0,104,62,716,11.55,6,0,0,6,,,108,169.6,172.6,138.6,12,8,65
66,Darren Sproles\SproDa00,NOR,RB,29,13,6,0,0,0,0,0,48,244,5.08,1,104,75,667,8.89,7,0,0,8,1,,141,216.1,222.1,178.6,11,23,66
67,Miles Austin\AustMi00,DAL,WR,28,16,15,0,0,0,0,0,0,0,,0,119,66,943,14.29,6,1,1,6,,,128,194.3,198.3,161.3,10,25,67
68,Kyle Rudolph*\RudoKy00,MIN,TE,23,16,16,0,0,0,0,0,0,0,,0,93,53,493,9.30,9,0,0,9,1,,105,158.3,161.3,131.8,10,9,68
69,Brandon Myers\MyerBr00,OAK,TE,27,16,16,0,0,0,0,0,0,0,,0,105,79,806,10.20,4,0,0,4,,,105,183.6,186.6,144.1,9,10,69
70,Jeremy Maclin\MaclJe00,PHI,WR,24,15,15,0,0,0,0,0,0,0,,0,122,69,857,12.42,7,1,1,7,,,126,194.7,198.7,160.2,7,26,70
71,Jermaine Gresham*\GresJe00,CIN,TE,24,16,15,0,0,0,0,0,0,0,,0,94,64,737,11.52,5,2,1,5,,,102,165.7,169.7,133.7,6,11,71
72,Justin Blackmon\BlacJu00,JAX,WR,22,16,14,0,0,0,0,0,2,23,11.50,0,132,64,865,13.52,5,1,0,5,1,,121,184.8,187.8,152.8,2,27,72
73,Jordy Nelson\NelsJo00,GNB,WR,27,12,10,0,0,0,0,0,0,0,,0,73,49,745,15.20,7,0,0,7,1,,119,167.5,170.5,143.0,,28,73
74,Andy Dalton\DaltAn00,CIN,QB,25,16,16,329,528,3669,27,16,47,120,2.55,4,0,0,0,,0,4,4,4,,,251,250.8,276.8,266.8,,12,74
75,Tyler Clutts\ClutTy00,HOU,,28,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,7,75
76,DeAngelo Williams\WillDe02,CAR,RB,29,16,10,0,0,0,0,0,173,737,4.26,5,20,13,187,14.38,2,2,2,7,,,130,143.4,151.4,136.9,,24,76
77,Antonio Gates\GateAn00,SDG,TE,32,15,15,0,0,0,0,0,0,0,,0,80,49,538,10.98,7,0,0,7,,,96,144.8,147.8,120.3,,12,77
78,Richie Brockel\BrocRi00,CAR,,26,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,2,78
79,Josh Freeman\FreeJo00,TAM,QB,24,16,16,306,558,4065,27,17,39,139,3.56,0,0,0,0,,0,10,2,0,,1,249,248.5,273.5,265.5,,13,
80,Joe Flacco\FlacJo00,BAL,QB,27,16,16,317,531,3817,22,10,32,22,0.69,3,0,0,0,,0,9,4,3,,1,235,234.9,251.9,244.9,,14,
81,Eli Manning*\MannEl00,NYG,QB,31,16,16,321,536,3948,26,15,20,30,1.50,0,0,0,0,,0,5,1,0,,,233,232.9,251.9,247.9,,15,
82,Sam Bradford\BradSa00,STL,QB,25,16,16,328,551,3702,21,13,36,124,3.44,1,0,0,0,,0,7,1,1,,4,230,230.5,250.5,243.5,,16,
83,Matt Schaub*\SchaMa00,HOU,QB,31,16,16,350,544,4008,22,12,21,-9,-0.43,0,1,1,-6,-6.00,0,4,0,0,,1,225,225.8,240.8,237.3,,17,
84,Carson Palmer\PalmCa00,OAK,QB,33,15,15,345,565,4018,22,14,18,36,2.00,1,0,0,0,,0,7,5,1,,2,224,224.3,246.3,238.3,,18,
85,Ben Roethlisberger\RoetBe00,PIT,QB,30,13,13,284,449,3265,26,8,26,92,3.54,0,0,0,0,,0,6,3,0,,1,224,223.8,237.8,231.8,,19,
86,Ryan Fitzpatrick\FitzRy00,BUF,QB,30,16,16,306,505,3400,24,16,48,197,4.10,1,0,0,0,,0,8,6,1,,,214,213.7,241.7,229.7,,20,
87,Philip Rivers\RivePh00,SDG,QB,31,16,16,338,527,3606,26,15,27,40,1.48,0,1,0,0,,0,15,7,0,,,208,208.2,233.2,223.2,,21,
88,Christian Ponder\PondCh00,MIN,QB,24,16,16,300,483,2935,18,12,60,253,4.22,2,1,1,-15,-15.00,0,7,5,2,,1,193,194.2,217.2,205.7,,22,
89,Jay Cutler\CutlJa00,CHI,QB,29,15,15,255,434,3033,19,14,41,233,5.68,0,0,0,0,,0,8,4,0,,,185,184.6,208.6,198.6,,23,
90,Ryan Tannehill\TannRy00,MIA,QB,24,16,16,282,484,3294,12,13,49,211,4.31,2,0,0,0,,0,9,4,2,,2,183,182.9,205.9,195.9,,24,
91,Colin Kaepernick\KaepCo00,SFO,QB,25,13,7,136,218,1814,10,3,63,415,6.59,5,0,0,0,,0,9,2,5,,,174,174.1,185.1,177.1,,25,
92,Brandon Weeden\WeedBr00,CLE,QB,29,15,15,297,517,3385,14,17,27,111,4.11,0,1,0,-9,,0,6,1,0,,,166,165.6,189.6,182.6,,26,
93,Michael Vick\VickMi00,PHI,QB,32,10,10,204,351,2362,12,10,62,332,5.35,1,0,0,0,,0,11,5,1,,,152,151.7,172.7,161.7,,27,
94,Jake Locker\LockJa00,TEN,QB,24,11,11,177,314,2176,10,11,41,291,7.10,1,1,0,0,,0,4,4,1,,,132,132.1,153.1,143.1,,28,
95,Alex Smith\SmitAl03,SFO,QB,28,10,9,153,218,1737,13,5,31,132,4.26,0,0,0,0,,0,3,1,0,,,123,122.7,134.7,127.7,,29,
96,Anquan Boldin\BoldAn00,BAL,WR,32,15,15,0,0,0,0,0,1,3,3.00,0,112,65,921,14.17,4,0,0,4,1,,118,183.4,186.4,150.9,,29,
97,Sidney Rice\RiceSi01,SEA,WR,26,16,16,1,2,25,0,0,2,6,3.00,0,82,50,748,14.96,7,0,0,7,,,118,168.4,171.4,143.4,,30,
98,Mark Sanchez\SancMa00,NYJ,QB,26,15,15,246,453,2883,13,18,22,28,1.27,0,0,0,0,,0,14,8,0,,,118,118.1,147.1,136.1,,30,
99,Danny Woodhead\WoodDa02,NWE,RB,27,16,2,0,0,0,0,0,76,301,3.96,4,55,40,446,11.15,3,1,0,7,,,117,156.7,162.7,136.7,,25,
100,Denarius Moore\MoorDe02,OAK,WR,24,15,15,0,0,0,0,0,1,-5,-5.00,0,114,51,741,14.53,7,3,0,7,,,116,166.6,169.6,141.1,,32,
101,Golden Tate\TateGo00,SEA,WR,24,15,15,1,1,23,1,0,3,20,6.67,0,68,45,688,15.29,7,1,1,7,,,116,160.7,164.7,138.2,,31,
102,Vick Ballard\BallVi00,IND,RB,22,16,12,0,0,0,0,0,211,814,3.86,2,27,17,152,8.94,1,3,0,3,,,115,131.6,137.6,123.1,,26,
103,Brandon Lloyd\LloyBr00,NWE,WR,31,16,15,0,0,0,0,0,0,0,,0,131,74,911,12.31,4,0,0,5,,,115,189.1,198.1,158.1,,33,
104,Chad Henne\HennCh01,JAX,QB,27,10,6,166,308,2084,11,11,19,64,3.37,1,0,1,-6,-6.00,0,4,2,1,,,113,114.2,130.2,124.7,,31,
105,Willis McGahee\McGaWi00,DEN,RB,31,10,9,0,0,0,0,0,167,731,4.38,4,33,26,221,8.50,0,5,4,4,1,,113,139.2,149.2,126.2,,27,
106,Brian Hartline\HartBr00,MIA,WR,26,16,15,0,0,0,0,0,0,0,,0,131,74,1083,14.64,1,1,1,1,,,112,186.3,190.3,149.3,,34,
107,Malcom Floyd\FloyMa00,SDG,WR,31,14,14,0,0,0,0,0,0,0,,0,85,56,814,14.54,5,0,0,5,,,111,167.4,170.4,139.4,,35,
108,Darren McFadden\McFaDa00,OAK,RB,25,12,12,0,0,0,0,0,216,707,3.27,2,63,42,258,6.14,1,2,2,3,,,111,152.5,160.5,131.5,,29,
109,DeMarco Murray\MurrDe00,DAL,RB,24,10,10,0,0,0,0,0,161,663,4.12,4,42,35,251,7.17,0,3,2,4,,,111,146.4,154.4,128.9,,28,
110,Josh Gordon\GordJo02,CLE,WR,21,16,13,0,0,0,0,0,0,0,,0,96,50,805,16.10,5,1,1,5,,,109,158.5,162.5,133.5,,37,
111,Andre Roberts\RobeAn00,ARI,WR,24,15,15,0,0,0,0,0,4,29,7.25,0,114,64,759,11.86,5,1,0,5,,,109,172.8,175.8,140.8,,36,
112,Danario Alexander\AlexDa00,SDG,WR,26,10,6,0,1,0,0,0,0,0,,0,62,37,658,17.78,7,0,0,7,,,108,144.8,147.8,126.3,,38,
113,Antonio Brown\BrowAn04,PIT,WR,24,13,10,0,2,0,0,1,7,24,3.43,0,106,66,787,11.92,5,4,2,5,,,105,171.1,177.1,139.1,,39,
114,Santana Moss\MossSa00,WAS,WR,33,16,1,0,0,0,0,0,3,14,4.67,0,62,41,573,13.98,8,2,1,8,,,105,145.7,149.7,125.2,,40,
115,Joique Bell\BellJo01,DET,RB,26,16,0,0,0,0,0,0,82,414,5.05,3,68,52,485,9.33,0,2,2,3,,,104,155.9,163.9,129.9,,30,
116,Larry Fitzgerald*\FitzLa00,ARI,WR,29,16,16,0,0,0,0,0,0,0,,0,156,71,798,11.24,4,0,0,4,,,104,174.8,177.8,139.3,,41,
117,Brandon Gibson\GibsBr00,STL,WR,25,16,13,0,0,0,0,0,0,0,,0,82,51,691,13.55,5,0,0,5,,,99,150.1,153.1,124.6,,43,
118,Percy Harvin\HarvPe00,MIN,WR,24,9,8,0,0,0,0,0,22,96,4.36,1,85,62,677,10.92,3,2,1,5,,,99,167.3,171.3,136.3,,42,
119,Nate Washington\WashNa00,TEN,WR,29,16,14,0,0,0,0,0,0,0,,0,89,46,746,16.22,4,1,0,4,,,99,144.6,147.6,121.6,,44,
120,Ryan Mathews\MathRy00,SDG,RB,25,12,9,0,0,0,0,0,184,707,3.84,1,56,39,252,6.46,0,2,2,1,,,98,136.9,144.9,117.4,,31,
121,Donnie Avery\AverDo00,IND,WR,28,16,15,0,0,0,0,0,4,9,2.25,0,124,60,781,13.02,3,1,0,3,,,97,157.0,160.0,127.0,,45,
122,Andre Brown\BrowAn03,NYG,RB,26,10,2,0,0,0,0,0,73,385,5.27,8,17,12,86,7.17,0,0,0,8,1,,97,109.1,112.1,103.1,,32,
123,Dwayne Bowe\BoweDw00,KAN,WR,28,13,12,0,0,0,0,0,0,0,,0,114,59,801,13.58,3,1,1,3,,,96,155.1,159.1,125.6,,46,
124,Brandon LaFell\LaFeBr00,CAR,WR,26,14,12,0,0,0,0,0,3,35,11.67,0,76,44,677,15.39,4,1,0,4,,,95,139.2,142.2,117.2,,47,
125,Pierre Thomas\ThomPi00,NOR,RB,28,15,4,0,0,0,0,0,105,473,4.50,1,53,39,354,9.08,1,0,0,2,,,95,133.7,139.7,114.2,,33,
126,Blaine Gabbert\GabbBl00,JAX,QB,23,10,10,162,278,1662,9,6,18,56,3.11,0,0,0,0,,0,5,3,0,,2,94,94.1,106.1,100.1,,32,
127,Martellus Bennett\BennMa00,NYG,TE,25,16,16,0,0,0,0,0,0,0,,0,89,55,626,11.38,5,0,0,5,,,93,147.6,150.6,120.1,,13,
128,Mark Ingram\IngrMa01,NOR,RB,23,16,5,0,0,0,0,0,156,602,3.86,5,10,6,29,4.83,0,0,0,5,,,93,99.1,102.1,96.1,,34,
129,Darrius Heyward-Bey\HeywDa00,OAK,WR,25,15,14,0,0,0,0,0,2,16,8.00,0,80,41,606,14.78,5,0,0,5,,,92,133.2,136.2,112.7,,48,
130,Felix Jones\JoneFe00,DAL,RB,25,16,7,0,0,0,0,0,111,402,3.62,3,36,25,262,10.48,2,2,2,5,,,92,117.4,125.4,104.9,,35,
131,Scott Chandler\ChanSc00,BUF,TE,27,15,13,0,0,0,0,0,0,0,,0,74,43,571,13.28,6,2,1,6,,,91,134.1,138.1,112.6,,14,
132,Chris Givens\GiveCh00,STL,WR,23,15,12,0,0,0,0,0,3,12,4.00,0,80,42,698,16.62,3,0,0,3,1,,91,133.0,136.0,112.0,,50,
133,Jeremy Kerley\KerlJe00,NYJ,WR,24,16,7,1,1,42,0,0,5,8,1.60,0,95,56,827,14.77,2,4,3,3,,,91,153.2,159.2,125.2,,49,
134,Knowshon Moreno\MoreKn00,DEN,RB,25,8,6,0,0,0,0,0,138,525,3.80,4,26,21,167,7.95,0,1,1,4,,,91,112.2,119.2,101.7,,36,
135,Greg Little\LittGr00,CLE,WR,23,16,16,0,0,0,0,0,2,15,7.50,0,94,53,647,12.21,4,0,0,4,,,90,143.2,146.2,116.7,,51,
136,Pierre Garcon\GarcPi00,WAS,WR,26,10,10,0,0,0,0,0,2,9,4.50,0,68,44,633,14.39,4,0,0,5,,,88,132.2,141.2,116.2,,52,
137,Jacquizz Rodgers\RodgJa00,ATL,RB,22,16,0,0,0,0,0,0,94,362,3.85,1,59,53,402,7.58,1,0,0,2,,,88,141.4,147.4,114.9,,37,
138,Hakeem Nicks\NickHa01,NYG,WR,24,13,11,0,0,0,0,0,0,0,,0,100,53,692,13.06,3,0,0,3,,,87,140.2,143.2,113.7,,53,
139,Mike Tolbert\TolbMi00,CAR,RB,27,16,5,0,0,0,0,0,54,183,3.39,7,39,27,268,9.93,0,0,0,7,,,87,114.1,120.1,100.6,,38,
140,Nick Foles\FoleNi00,PHI,QB,23,7,6,161,265,1699,6,5,11,42,3.82,1,0,0,0,,0,8,3,1,,,86,86.2,97.2,91.2,,33,
141,Vernon Davis\DaviVe00,SFO,TE,28,16,16,0,0,0,0,0,0,0,,0,61,41,548,13.37,5,0,0,5,,,85,125.8,128.8,105.3,,15,
142,Kevin Kolb\KolbKe00,ARI,QB,28,6,5,109,183,1169,8,3,16,100,6.25,1,0,0,0,,0,2,2,1,,,85,84.8,95.8,87.8,,34,
143,Kendall Wright\WrigKe01,TEN,WR,23,15,5,0,0,0,0,0,1,4,4.00,0,104,64,626,9.78,4,1,1,4,,,85,149.0,153.0,117.0,,54,
144,Davone Bess\BessDa00,MIA,WR,27,13,13,0,0,0,0,0,0,0,,0,104,61,778,12.75,1,1,0,1,,,84,144.8,147.8,114.3,,56,
145,Brandon Stokley\StokBr00,DEN,WR,36,15,9,0,0,0,0,0,0,0,,0,58,45,544,12.09,5,0,0,5,,,84,129.4,132.4,106.9,,55,
146,Danny Amendola\AmenDa00,STL,WR,27,11,8,0,0,0,0,0,2,8,4.00,0,101,63,666,10.57,3,3,2,3,1,,83,146.4,151.4,114.9,,57,
147,Kenny Britt\BritKe00,TEN,WR,24,14,11,0,0,0,0,0,0,0,,0,90,45,589,13.09,4,2,1,4,1,,83,127.9,131.9,105.4,,58,
148,Marcel Reece*\ReecMa00,OAK,RB,27,16,14,0,0,0,0,0,59,271,4.59,0,73,52,496,9.54,1,2,0,1,,,83,134.7,140.7,108.7,,39,
149,Bilal Powell\PoweBi00,NYJ,RB,24,14,2,0,0,0,0,0,110,437,3.97,4,36,17,140,8.24,0,0,0,4,,,82,98.7,104.7,90.2,,40,
150,Jonathan Dwyer\DwyeJo00,PIT,RB,23,13,6,0,0,0,0,0,156,623,3.99,2,25,18,106,5.89,0,2,2,2,,,81,98.9,106.9,89.9,,42,
151,DeSean Jackson\JackDe00,PHI,WR,26,11,11,0,0,0,0,0,3,-7,-2.33,0,87,45,700,15.56,2,1,0,2,,,81,126.3,129.3,103.8,,59,
152,Fred Jackson\JackFr02,BUF,RB,31,10,8,0,0,0,0,0,115,437,3.80,3,42,34,217,6.38,1,5,4,4,,,81,115.4,125.4,98.4,,41,
153,Bryce Brown\BrowBr02,PHI,RB,21,16,4,0,0,0,0,0,115,564,4.90,4,19,13,56,4.31,0,4,3,4,,,80,93.0,99.0,86.5,,43,
