,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
55,Fred Jackson\JackFr02,BUF,RB,29,16,13,0,0,0,0,0,222,927,4.18,5,54,31,215,6.94,2,5,,7,,,156,187.2,193.2,171.7,18,21,55
56,Braylon Edwards\EdwaBr00,NYJ,WR,27,16,15,0,0,0,0,0,1,4,4.00,0,101,53,904,17.06,7,1,,7,1,,135,187.8,190.8,161.3,17,21,56
57,Kenny Britt\BritKe00,TEN,WR,22,12,7,0,0,0,0,0,0,0,,0,73,42,775,18.45,9,1,,9,1,,134,175.5,178.5,154.5,16,22,57
58,Eli Manning\MannEl00,NYG,QB,29,16,16,339,539,4002,31,25,32,70,2.19,0,0,0,0,,0,7,,0,,,241,241.1,269.1,266.1,10,10,58
59,Wes Welker*\WelkWe00,NWE,WR,29,15,11,0,0,0,0,0,0,0,,0,123,86,848,9.86,7,1,,7,,,127,213.8,215.8,170.8,9,23,59
60,Johnny Knox\KnoxJo00,CHI,WR,24,16,16,0,0,0,0,0,1,2,2.00,0,100,51,960,18.82,5,1,,5,,,126,177.2,180.2,151.7,9,24,60
61,Chris Cooley\CoolCh00,WAS,TE,28,16,16,0,0,0,0,0,0,0,,0,126,77,849,11.03,3,3,,3,1,,105,181.9,184.9,143.4,9,6,61
62,Anquan Boldin\BoldAn00,BAL,WR,30,16,16,1,1,-6,0,0,2,2,1.00,0,109,64,837,13.08,7,1,,7,,,126,189.7,192.7,157.7,8,25,62
63,Joe Flacco\FlacJo00,BAL,QB,25,16,16,306,489,3622,25,10,43,84,1.95,1,0,0,0,,0,9,,1,,,239,239.3,252.3,249.3,8,11,63
64,Lance Moore\MoorLa00,NOR,WR,27,16,1,0,0,0,0,0,0,0,,0,94,66,763,11.56,8,2,,8,,,124,190.3,193.3,157.3,7,26,64
65,Kellen Winslow\WinsKe01,TAM,TE,27,16,11,0,0,0,0,0,0,0,,0,98,66,730,11.06,5,1,,5,,,103,169.0,172.0,136.0,7,7,65
66,Tony Gonzalez*\GonzTo00,ATL,TE,34,16,16,0,0,0,0,0,0,0,,0,108,70,656,9.37,6,0,,6,,,102,171.6,174.6,136.6,5,8,66
67,Derrick Mason\MasoDe00,BAL,WR,36,16,15,0,0,0,0,0,0,0,,0,100,61,802,13.15,7,0,,7,,,122,183.2,186.2,152.7,5,27,67
68,Brandon Jacobs\JacoBr00,NYG,RB,28,16,5,0,0,0,0,0,147,823,5.60,9,13,7,59,8.43,0,2,,9,,,142,149.2,152.2,145.7,4,22,68
69,Dustin Keller\KellDu00,NYJ,TE,26,16,13,0,0,0,0,0,0,0,,0,100,55,687,12.49,5,0,,5,,,99,153.7,156.7,126.2,3,9,69
70,Zach Miller*\MillZa01,OAK,TE,25,15,15,0,0,0,0,0,0,0,,0,92,60,685,11.42,5,1,,5,,,99,158.5,161.5,128.5,2,10,70
71,Brandon Marshall\MarsBr00,MIA,WR,26,14,14,0,1,0,0,0,2,3,1.50,0,146,86,1014,11.79,3,2,,3,,,120,205.7,208.7,162.7,2,28,71
72,Jahvid Best\BestJa00,DET,RB,21,16,9,0,1,0,0,0,171,555,3.25,4,80,58,487,8.40,2,1,,6,,,140,198.2,204.2,169.2,2,23,72
73,Aaron Hernandez\HernAa00,NWE,TE,21,14,7,0,0,0,0,0,3,47,15.67,0,64,45,563,12.51,6,0,,6,,,97,142.0,145.0,119.5,1,11,73
74,Deion Branch\BranDe00,2TM,WR,31,15,12,0,0,0,0,0,0,0,,0,92,61,818,13.41,6,1,,6,,,118,178.8,181.8,148.3,,29,74
75,Marquis Johnson\JohnMa99,STL,,22,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,2,75
76,LeGarrette Blount\BlouLe00,TAM,RB,24,13,7,0,0,0,0,0,201,1007,5.01,6,7,5,14,2.80,0,4,,6,,,138,143.1,146.1,140.6,,24,76
77,J.P. Foschi\FoscJo00,CIN,,28,2,1,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,3,77
78,Mike Thomas\ThomMi01,JAX,WR,23,16,11,0,0,0,0,0,12,114,9.50,0,102,66,820,12.42,4,3,,5,,,117,189.4,195.4,156.4,,30,78
79,Matt Cassel*\CassMa00,KAN,QB,28,15,15,262,450,3116,27,7,33,125,3.79,0,0,0,0,,0,3,,0,,,231,231.1,244.1,238.1,,12,
80,Carson Palmer\PalmCa00,CIN,QB,31,16,16,362,586,3970,26,20,32,50,1.56,0,0,0,0,,0,7,,0,,1,230,229.8,252.8,249.8,,13,
81,David Garrard\GarrDa00,JAX,QB,32,14,14,236,366,2734,23,15,66,279,4.23,5,0,0,0,,0,11,,5,,,229,229.3,250.3,244.3,,14,
82,Jay Cutler\CutlJa00,CHI,QB,27,15,15,261,432,3274,23,16,50,232,4.64,1,0,0,0,,0,10,,1,,1,222,222.2,244.2,238.2,,15,
83,Kyle Orton\OrtoKy00,DEN,QB,28,13,13,293,498,3653,20,9,22,98,4.45,0,0,0,0,,0,4,,0,,,218,217.9,229.9,226.9,,16,
84,Ben Roethlisberger\RoetBe00,PIT,QB,28,12,12,240,389,3200,17,5,34,176,5.18,2,0,0,0,,0,6,,2,,,216,215.6,226.6,220.6,,17,
85,Ryan Fitzpatrick\FitzRy00,BUF,QB,28,13,13,255,441,3000,23,15,40,269,6.73,0,0,0,0,,0,8,,0,,,209,208.9,229.9,223.9,,18,
86,Mark Sanchez\SancMa00,NYJ,QB,24,16,16,278,507,3291,17,13,30,105,3.50,3,0,0,0,,0,9,,3,,1,204,204.1,223.1,217.1,,19,
87,Sam Bradford\BradSa00,STL,QB,23,16,16,354,590,3512,18,15,27,63,2.33,1,0,0,0,,0,7,,1,,,195,194.8,212.8,209.8,,20,
88,Donovan McNabb\McNaDo00,WAS,QB,34,13,13,275,472,3377,14,15,29,151,5.21,0,0,0,0,,0,10,,0,,,176,176.2,197.2,191.2,,21,
89,Shaun Hill\HillSh00,DET,QB,30,11,10,257,416,2686,16,12,22,123,5.59,0,0,0,0,,0,3,,0,,1,162,161.7,179.7,173.7,,22,
90,Jason Campbell\CampJa00,OAK,QB,29,13,12,194,329,2387,13,8,47,222,4.72,1,0,0,0,,0,9,,1,,,160,159.7,173.7,167.7,,23,
91,Chad Henne\HennCh01,MIA,QB,25,15,14,301,490,3301,15,19,35,52,1.49,0,0,0,0,,0,5,,0,,,159,159.2,181.2,178.2,,25,
92,Jon Kitna\KitnJo00,DAL,QB,38,10,9,209,318,2365,16,12,31,147,4.74,1,0,0,0,,0,6,,1,,2,159,159.3,177.3,171.3,,24,
93,Matt Hasselbeck\HassMa00,SEA,QB,35,14,14,266,444,3001,12,17,23,60,2.61,3,0,0,0,,0,7,,3,,,158,158.0,178.0,175.0,,26,
94,Alex Smith\SmitAl03,SFO,QB,26,11,10,204,342,2370,14,10,18,60,3.33,0,0,0,0,,0,4,,0,,1,139,138.8,151.8,148.8,,27,
95,Thomas Jones\JoneTh00,KAN,RB,32,16,10,0,0,0,0,0,245,896,3.66,6,20,14,122,8.71,0,3,,6,,,138,151.8,157.8,144.8,,25,
96,Felix Jones\JoneFe00,DAL,RB,23,16,7,0,0,0,0,0,185,800,4.32,1,52,48,450,9.38,1,2,,2,,,137,185.0,191.0,161.0,,26,
97,Michael Bush\BushMi00,OAK,RB,26,14,3,0,0,0,0,0,158,655,4.15,8,24,18,194,10.78,0,0,,8,,,133,150.9,156.9,141.9,,27,
98,Brandon Jackson\JackBr00,GNB,RB,25,16,13,0,0,0,0,0,190,703,3.70,3,50,43,342,7.95,1,1,,4,,,129,171.5,177.5,150.0,,29,
99,Danny Woodhead\WoodDa02,2TM,RB,25,15,3,0,0,0,0,0,97,547,5.64,5,44,34,379,11.15,1,1,,6,,,129,162.6,168.6,145.6,,28,
100,Ronnie Brown\BrowRo05,MIA,RB,29,16,16,0,2,0,0,0,200,734,3.67,5,43,33,242,7.33,0,3,,5,,,128,160.6,166.6,144.1,,30,
101,Marshawn Lynch\LyncMa00,2TM,RB,24,16,14,0,0,0,0,0,202,737,3.65,6,26,22,145,6.59,0,4,,6,,,124,146.2,152.2,135.2,,32,
102,Ryan Mathews\MathRy00,SDG,RB,23,12,9,0,0,0,0,0,158,678,4.29,7,26,22,145,6.59,0,5,,7,,,124,146.3,152.3,135.3,,31,
103,Ryan Torain\ToraRy00,WAS,RB,24,10,8,0,0,0,0,0,164,742,4.52,4,27,18,125,6.94,2,2,,6,,,123,140.7,146.7,131.7,,33,
104,Tim Hightower\HighTi00,ARI,RB,24,16,13,0,0,0,0,0,153,736,4.81,5,42,21,136,6.48,0,5,,5,,,117,138.2,144.2,127.7,,34,
105,Kerry Collins\CollKe00,TEN,QB,38,10,7,160,278,1823,14,8,10,1,0.10,0,0,0,0,,0,5,,0,,1,115,115.0,126.0,123.0,,28,
106,Pierre Garcon\GarcPi00,IND,WR,24,14,14,0,0,0,0,0,2,6,3.00,0,119,67,784,11.70,6,0,,6,,,115,182.0,185.0,148.5,,31,
107,Austin Collie\CollAu00,IND,WR,25,9,6,0,0,0,0,0,0,0,,0,71,58,649,11.19,8,1,,8,,,113,170.9,173.9,141.9,,32,
108,Davone Bess\BessDa00,MIA,WR,25,16,8,0,0,0,0,0,2,-3,-1.50,0,125,79,820,10.38,5,3,,5,,,112,190.7,193.7,151.2,,34,
109,Santonio Holmes\HolmSa00,NYJ,WR,26,12,10,0,0,0,0,0,2,17,8.50,0,96,52,746,14.35,6,2,,6,,,112,164.3,167.3,138.3,,33,
110,Michael Crabtree\CrabMi00,SFO,WR,23,16,15,0,0,0,0,0,0,0,,0,101,55,741,13.47,6,0,,6,,,110,165.1,168.1,137.6,,35,
111,Malcom Floyd\FloyMa00,SDG,WR,29,11,9,0,0,0,0,0,0,0,,0,77,37,717,19.38,6,1,,6,,,108,144.7,147.7,126.2,,36,
112,Nate Burleson\BurlNa00,DET,WR,29,14,14,0,0,0,0,0,7,81,11.57,0,86,55,625,11.36,6,2,,6,,,107,161.6,164.6,134.1,,38,
113,Brett Favre\FavrBr00,MIN,QB,41,13,13,217,358,2509,11,19,17,8,0.47,0,0,0,0,,0,7,,0,,,107,107.2,129.2,126.2,,29,
114,Chad Johnson\JohnCh01,CIN,,32,14,12,0,1,0,0,0,0,0,,0,126,67,831,12.40,4,0,,4,,,107,174.1,177.1,140.6,,37,
115,Anthony Armstrong\ArmsAn00,WAS,WR,27,15,11,0,0,0,0,0,0,0,,0,86,44,871,19.80,3,1,,3,,,105,149.1,152.1,127.1,,40,
116,Jonathan Stewart\StewJo00,CAR,RB,23,14,7,0,0,0,0,0,178,770,4.33,2,14,8,103,12.88,1,4,,3,,,105,113.3,119.3,109.3,,35,
117,Hines Ward\WardHi00,PIT,WR,34,16,15,0,0,0,0,0,1,-2,-2.00,0,95,59,755,12.80,5,1,,5,,,105,164.3,167.3,134.8,,39,
118,Nate Washington\WashNa00,TEN,WR,27,16,16,0,0,0,0,0,1,-8,-8.00,0,94,42,687,16.36,6,0,,6,,,104,145.9,148.9,124.9,,41,
